taxon,year
conus bullatus,1758
solen bullatus,1758
buprestis,1758
attelabus buprestoides,1758
alcyonium bursa,1758
aphis bursaria,1758
sertularia bursaria,1758
falco buteo,1758
fringilla butyracea,1758
loxia butyracea,1758
chermes buxi,1758
papilio c-album,1758
papilio c-aureum,1758
phalaena c-nigrum,1758
equus caballus,1758
perca cabrilla,1758
falco cachinnans,1758
coccus cacti,1758
musca cadaverina,1758
muraena caeca,1758
caecilia,1758
tabanus caecutiens,1758
ardea caerulea,1758
cantharis caerulea,1758
certhia caerulea,1758
loxia caerulea,1758
nereis caerulea,1758
patella caerulea,1758
sphex caerulea,1758
phalaena caeruleocephala,1758
anas caerulescens,1758
apis caerulescens,1758
carabus caerulescens,1758
coluber caerulescens,1758
falco caerulescens,1758
gryllus caerulescens,1758
lanius caerulescens,1758
cimex caeruleus,1758
coluber caeruleus,1758
parus caeruleus,1758
tenebrio caeruleus,1758
psittacus caerulocephalus,1758
musca caesar,1758
formica caespitum,1758
voluta caffra,1758
phalaena caja,1758
coluber calamarius,1758
emberiza calandra,1758
cancer calappa,1758
nautilus calcar,1758
turbo calcar,1758
cimex calcaratus,1758
scarabaeus calcaratus,1758
conops calcitrans,1758
tabanus calens,1758
vespa calida,1758
motacilla calidris,1758
gadus callarias,1758
silurus callichthys,1758
callionymus,1758
papilio calliope,1758
chimaera callorynchus,1758
lacerta calotes,1758
aranea calycina,1758
chama calyculata,1758
pediculus cameli,1758
phalaena camelina,1758
cervus camelopardalis,1758
ichneumon camelus,1758
struthio camelus,1758
camelus,1758
hydra campanulata,1758
alauda campestris,1758
cicindela campestris,1758
cimex campestris,1758
gryllus campestris,1758
motacilla campestris,1758
tenthredo campestris,1758
loxia cana,1758
anas canadensis,1758
ardea canadensis,1758
falco canadensis,1758
tetrao canadensis,1758
vespa canadensis,1758
bulla canaliculata,1758
murex canaliculatus,1758
fringilla canaria,1758
strombus canarium,1758
libellula cancellata,1758
cancer,1758
cancer cancharus,1758
aranea cancriformis,1758
acarus cancroides,1758
cicada candelaria,1758
coluber candidus,1758
pholas candidus,1758
chaetodon canescens,1758
squalus canicula,1758
psittacus canicularis,1758
boa canina,1758
taenia canina,1758
canis,1758
fringilla cannabina,1758
cuculus canorus,1758
turdus canorus,1758
nerita canrena,1758
cantharis,1758
sparus cantharus,1758
coluber canus,1758
larus canus,1758
tringa canutus,1758
lepus capensis,1758
procellaria capensis,1758
scarabaeus capensis,1758
medusa capillata,1758
chaetodon capistratus,1758
sparus capistratus,1758
conus capitaneus,1758
murex capitellum,1758
pediculus caponis,1758
sciaena cappa,1758
capra,1758
chrysomela caprea,1758
tenthredo capreae,1758
cervus capreolus,1758
caprimulgus,1758
phalaena capucina,1758
simia capucina,1758
dermestes capucinus,1758
asterias caputmedusae,1758
anomia caputserpentis,1758
cypraea caputserpentis,1758
dytiscus caraboides,1758
scarabaeus caraboides,1758
staphylinus caraboides,1758
tenebrio caraboides,1758
cancer carabus,1758
carabus,1758
gymnotus carapo,1758
cyprinus carassius,1758
pelecanus carbo,1758
curculio carbonarius,1758
gadus carbonarius,1758
cerambyx carcharias,1758
squalus carcharias,1758
cancer carcinus,1758
papilio cardamines,1758
loxia cardinalis,1758
cardium cardissa,1758
cardium,1758
fringilla carduelis,1758
aphis cardui,1758
cimex cardui,1758
musca cardui,1758
papilio cardui,1758
testudo caretta,1758
papilio caricae,1758
sphinx caricae,1758
testudo carinata,1758
coluber carinatus,1758
gryllus carinatus,1758
scarabaeus carinatus,1758
apis cariosa,1758
musca carnaria,1758
tellina carnaria,1758
cypraea carneola,1758
lanius carnifex,1758
scarabaeus carnifex,1758
helix carocolla,1758
testudo carolina,1758
psittacus carolinensis,1758
gryllus carolinus,1758
picus carolinus,1758
rallus carolinus,1758
coccus carpini,1758
cyprinus carpio,1758
salmo carpio,1758
corvus caryocatactes,1758
merops caser,1758
venus casina,1758
sphinx cassandra,1758
papilio cassiae,1758
cassida,1758
coracias cassra,1758
cerambyx castaneus,1758
elater castaneus,1758
castor,1758
phalaena castrensis,1758
venus castrensis,1758
struthio casuarius,1758
loricaria cataphracta,1758
trigla cataphracta,1758
cottus cataphractus,1758
silurus cataphractus,1758
phalaena catax,1758
physeter catodon,1758
lemur catta,1758
squalus catulus,1758
felis catus,1758
silurus catus,1758
holothuria caudata,1758
phalangium caudatum,1758
parus caudatus,1758
lacerta caudiverbera,1758
cypraea caurica,1758
phalaena cecropia,1758
sertularia cedrina,1758
parus cela,1758
sphinx celerio,1758
musca cellaris,1758
millepora cellulosa,1758
phalaena celsia,1758
musca cemiteriorum,1758
coluber cenchoa,1758
boa cenchria,1758
papilio ceneus,1758
squalus centrina,1758
centriscus,1758
apis centuncularis,1758
anomia cepa,1758
carabus cephalotes,1758
formica cephalotes,1758
cyprinus cephalus,1758
mugil cephalus,1758
papilio cepheus,1758
simia cephus,1758
attelabus ceramboides,1758
chrysomela ceramboides,1758
cerambyx,1758
murex ceramicus,1758
chrysomela cerasi,1758
curculio cerasi,1758
musca cerasi,1758
tenthredo cerasi,1758
anguis cerastes,1758
coluber cerastes,1758
chermes cerastii,1758
scarabaeus ceratoniae,1758
gorgonia ceratophyta,1758
cercopithecus,1758
cerambyx cerdo,1758
perca cernua,1758
certhia,1758
pediculus cervi,1758
capra cervicapra,1758
cerambyx cervicornis,1758
chrysomela cervina,1758
curculio cervinus,1758
scarabaeus cervus,1758
cervus,1758
oniscus ceti,1758
cancer chabrus,1758
chaetodon,1758
lacerta chalcides,1758
chama,1758
lacerta chamaeleon,1758
musca chamaeleon,1758
nerita chamaeleon,1758
chamites,1758
volvox chaos,1758
pediculus charadrii,1758
charadrius,1758
sertularia chelata,1758
phalaena chenopodiata,1758
chermes,1758
coluber chersea,1758
phalaena chi,1758
chimaera,1758
cantharis chinensis,1758
curculio chinensis,1758
fringilla chinensis,1758
labrus chinensis,1758
libellula chinensis,1758
patella chinensis,1758
venus chione,1758
strombus chiragra,1758
chiton,1758
loxia chloris,1758
fulica chloropus,1758
sparus chromis,1758
falco chrysaetos,1758
papilio chrysippus,1758
scarabaeus chrysis,1758
phalaena chrysitis,1758
chrysomela chrysocephala,1758
chrysomela,1758
staphylinus chrysomelinus,1758
hemerobius chrysops,1758
phalaena chrysorrhoea,1758
buprestis chrysostigma,1758
turbo chrysostomus,1758
musca cibaria,1758
cicada,1758
cypraea cicercula,1758
meloe cichorii,1758
cicindela,1758
ardea ciconia,1758
pediculus ciconiae,1758
echinus cidaris,1758
cardium ciliare,1758
chaetodon ciliaris,1758
cicada ciliaris,1758
sertularia ciliata,1758
turbo cimex,1758
cimex,1758
nepa cimicoides,1758
sturnus cinclus,1758
podura cincta,1758
tenthredo cincta,1758
ichneumon cinctus,1758
apis cineraria,1758
trochus cinerarius,1758
ardea cinerea,1758
nepa cinerea,1758
coluber cinereus,1758
dytiscus cinereus,1758
merops cinereus,1758
sciurus cinereus,1758
phalaena cingulata,1758
cerambyx cinnamomeus,1758
papilio cinxia,1758
anas circia,1758
ichneumon circumflexus,1758
emberiza ciris,1758
sciaena cirrosa,1758
aphis cirsii,1758
phalaena citrago,1758
gryllus citrifolius,1758
helix citrina,1758
emberiza citrinella,1758
anas clangula,1758
silurus clarias,1758
phalaena clathrata,1758
turbo clathrus,1758
cassida clatrata,1758
raja clavata,1758
apis clavicornis,1758
chrysomela clavicornis,1758
cimex clavicornis,1758
dermestes clavicornis,1758
sphex clavipes,1758
conus clavus,1758
phalaena clerkella,1758
papilio clio,1758
curculio cloropus,1758
clupea,1758
anas clypeata,1758
papilio clytia,1758
panorpa coa,1758
vespa coarctata,1758
coluber cobella,1758
cobitis,1758
chrysomela coccinea,1758
coccinella,1758
ichneumon coccorum,1758
loxia coccothraustes,1758
coccus,1758
murex cochlidium,1758
cochlites,1758
turbo cochlus,1758
fringilla coelebs,1758
bulla coffea,1758
phasianus colchicus,1758
cicada coleoptrata,1758
scolopendra coleoptrata,1758
acarus coleoptratorum,1758
acarus coleoptratus,1758
loxia collaria,1758
chrysomela collaris,1758
leptura collaris,1758
psittacus collarius,1758
lanius collurio,1758
dermestes colon,1758
silpha colon,1758
sphex colon,1758
phalaena colonella,1758
coluber,1758
anguis colubrina,1758
trochilus colubris,1758
columba,1758
pediculus columbae,1758
falco columbarius,1758
columbus,1758
murex colus,1758
colymbus,1758
phalaena comitata,1758
ichneumon comitator,1758
papilio comma,1758
panorpa communis,1758
phalaena complana,1758
helix complanata,1758
hirudo complanata,1758
millepora compressa,1758
patella compressa,1758
ichneumon compunctor,1758
monoculus conchaceus,1758
conchites,1758
muraena conger,1758
coccinella conglobata,1758
coccinella conglomerata,1758
apis conica,1758
conops,1758
musca conopsoides,1758
phalaena conspicillaris,1758
scarabaeus conspurcatus,1758
boa constrictor,1758
coluber constrictor,1758
ichneumon constrictorius,1758
tipula contaminata,1758
helix contorta,1758
serpula contortuplicata,1758
sturnus contra,1758
trochus conulus,1758
conus,1758
hydra convallaria,1758
sphinx convolvuli,1758
cerambyx coquus,1758
coracias,1758
corallina,1758
cardium corallinum,1758
coluber corallinus,1758
corvus corax,1758
apis cordata,1758
chama cordata,1758
chrysomela cordigera,1758
scomber cordyla,1758
lacerta cordylus,1758
coregonus,1758
carabus coriaceus,1758
gryllus coriaceus,1758
cerambyx coriarius,1758
helix cornea,1758
nerita cornea,1758
tellina cornea,1758
murex corneus,1758
turbo corneus,1758
tipula cornicina,1758
voluta cornicula,1758
corallina corniculata,1758
corvus cornix,1758
helix cornuarietis,1758
helix cornumilitare,1758
cicada cornuta,1758
rana cornuta,1758
sertularia cornuta,1758
vespa cornuta,1758
buccinum cornutum,1758
blennius cornutus,1758
cancer cornutus,1758
chaetodon cornutus,1758
curculio cornutus,1758
hemerobius cornutus,1758
murex cornutus,1758
ostracion cornutus,1758
aranea corollata,1758
nerita corona,1758
gryllus coronatus,1758
corvus corone,1758
cimex corticalis,1758
phalaena corticella,1758
ichneumon coruscator,1758
pediculus corvi,1758
corvus,1758
attelabus coryli,1758
chrysomela coryli,1758
cimex coryli,1758
coccus coryli,1758
phalaena coryli,1758
coryphaena,1758
phalaena cossus,1758
buccinum costatum,1758
cardium costatum,1758
pholas costatus,1758
silurus costatus,1758
perca cottoides,1758
cottus,1758
tetrao coturnix,1758
vespa crabro,1758
asilus crabroniformis,1758
aphis craccae,1758
cancer crangon,1758
anomia craniolaris,1758
cancer craniolaris,1758
cimex crassicornis,1758
acarus crassipes,1758
julus crassus,1758
hydra crataegaria,1758
papilio crataegi,1758
